id,num_colis,poids,montant,ratio_montant_poids,code_service,portee_dest,gouvernorat,annee,mois,score_if
1109991,EE583133425TN,15.87,20.0,1.2601600403251214,EMS-N,NATIONAL,Sfax,2026,3,-0.7466556219841463
1109995,EE582591889TN,14.48,20.0,1.3811200883916857,EMS-N,NATIONAL,Sfax,2026,2,-0.7431277439462011
1110002,EE581969272TN,17.73,25.0,1.4099599571372172,EMS-N,NATIONAL,Sfax,2026,1,-0.7542146052041446
1110003,EE581976463TN,6.55,12.0,1.8317814074187146,EMS-N,NATIONAL,Sfax,2026,1,-0.6954661523671313
1110004,EE581976477TN,6.12,12.0,1.960463976474432,EMS-N,NATIONAL,Sfax,2026,1,-0.6904299955540775
1110007,EE583597358TN,12.01,20.0,1.6651402880692698,EMS-N,NATIONAL,Sfax,2026,4,-0.7356240342279469
1110046,EE572587505TN,9.0,379.0,42.106432618597935,RPP-I,INTERNATIONAL,Ariana,2026,3,-0.7206913753849333
1111013,EE499205215TN,0.02,60.0,2857.142857142857,RPP-I,INTERNATIONAL,Tataouine,2026,5,-0.6759357912343149
1111855,EE583572308TN,5.38,12.0,2.230068760453447,EMS-N,NATIONAL,Jendouba,2026,6,-0.6908972891049693
1112059,EE583059521TN,4.876,10.0,2.050440844781628,EMS-N,NATIONAL,Kairouan,2026,5,-0.6820424640507117
1112088,EE580061441TN,13.96,484.0,34.66800372466156,RPP-I,INTERNATIONAL,Tunis,2026,3,-0.7419514078367171
1112089,EE580061455TN,13.96,484.0,34.66800372466156,RPP-I,INTERNATIONAL,Tunis,2026,3,-0.7419514078367171
1112090,EE580061469TN,13.98,484.0,34.61841070023603,RPP-I,INTERNATIONAL,Tunis,2026,3,-0.7414495834506258
1112091,EE580061472TN,13.96,484.0,34.66800372466156,RPP-I,INTERNATIONAL,Tunis,2026,3,-0.7419514078367171
1112092,EE580061486TN,14.02,500.0,35.660794522501966,RPP-I,INTERNATIONAL,Tunis,2026,3,-0.7414495834506258
1112166,EE424706350TN,13.3,375.0,28.193368919630103,RPP-I,INTERNATIONAL,Tunis,2026,4,-0.7365524510091433
1112190,EE580153267TN,20.95,610.0,29.11555534342036,EMS-I,INTERNATIONAL,Kairouan,2026,2,-0.7696349988928389
1112191,EE580153275TN,10.24,335.0,32.71164925300264,EMS-I,INTERNATIONAL,Kairouan,2026,2,-0.7236229813442134
1112209,EE582791032TN,19.64,25.0,1.2728476146835699,EMS-N,NATIONAL,Jendouba,2026,3,-0.6748258642367648
1112357,EE579644459TN,10.86,233.0,21.452904889052576,RPP-I,INTERNATIONAL,Tunis,2026,2,-0.7071087459016406
1112642,EE584213403TN,3.707,10.0,2.696871628910464,EMS-N,NATIONAL,Gabès,2026,6,-0.6781601621435512
1112738,EE577125924TN,0.009,39.0,3900.0000000000005,RPP-I,INTERNATIONAL,Sousse,2026,3,-0.6939971462599898
1112755,EE578508474TN,20.46,524.0,25.609696495772443,RPP-I,INTERNATIONAL,Tunis,2026,3,-0.7659985454464524
1112974,EE580057226TN,10.16,226.0,22.241905324279106,RPP-I,INTERNATIONAL,Tunis,2026,1,-0.6936187210330407
1112975,EE580056251TN,21.528,414.0,19.229875981234613,RPP-I,INTERNATIONAL,Tunis,2026,1,-0.7639282915880523
1113510,EE583097480TN,21.2,25.0,1.1791896608650536,EMS-N,NATIONAL,Sfax,2026,4,-0.6835568439351697
1113611,EE579647985TN,7.98,344.0,43.1023681242952,RPP-I,INTERNATIONAL,Tunis,2026,1,-0.7171855342892011
1113612,EE578909319TN,8.94,510.0,57.04059948551617,RPP-I,INTERNATIONAL,Tunis,2026,6,-0.7301312624794275
1114639,EE579896316TN,19.6,470.0,23.97836845058925,EMS-I,INTERNATIONAL,Tunis,2026,2,-0.7618636329766193
1114688,EE579253095TN,0.021,65.0,2954.545454545454,RPP-I,INTERNATIONAL,Monastir,2026,4,-0.6918514787371189
1114867,EE582963347TN,5.89,12.0,2.037005601765405,EMS-N,NATIONAL,Zaghouan,2026,3,-0.6899630180606752
1114914,EE578304595TN,0.023,65.0,2708.3333333333335,RPP-I,INTERNATIONAL,Monastir,2026,6,-0.6716075176048912
1115224,EE583805736TN,22.78,30.0,1.3168868794170578,EMS-N,NATIONAL,Tataouine,2026,7,-0.6868019188190656
1115494,EE581805512TN,5.398,12.0,2.2226338210779772,EMS-N,NATIONAL,Bizerte,2026,4,-0.6908972891049693
1117602,EE487102562TN,12.68,328.0,25.865468023026576,RPP-I,INTERNATIONAL,Ariana,2026,2,-0.7305965660434907
1117758,EE582497044TN,12.88,20.0,1.5526744817948916,EMS-N,NATIONAL,Gabès,2026,1,-0.7361219157934774
1117875,EE580064955TN,8.744,202.0,23.098913664951404,RPP-I,INTERNATIONAL,Tunis,2026,3,-0.6711859332066009
1118198,EE581822759TN,12.0,250.0,20.831597366886093,EMS-I,INTERNATIONAL,Bizerte,2026,3,-0.7148482863456355
1118200,EE579845455TN,6.0,236.0,39.3267788701883,RPP-I,INTERNATIONAL,Bizerte,2026,1,-0.6915758550935925
1118201,EE581807867TN,8.0,250.0,31.246094238220223,EMS-I,INTERNATIONAL,Bizerte,2026,4,-0.6897468900589936
1118202,EE581800603TN,13.0,390.0,29.997692485193447,EMS-I,INTERNATIONAL,Bizerte,2026,5,-0.7360542782478984
1118608,EE581169158TN,12.07,260.0,21.539226244718748,EMS-I,INTERNATIONAL,Tunis,2026,2,-0.7133987882055128
1118690,EE575535484TN,4.952,80.0,16.15182717544922,EMS-I,INTERNATIONAL,Zaghouan,2026,3,-0.7055693263710887
1118716,EE582692499TN,15.42,165.0,10.699695220802802,EMS-I,INTERNATIONAL,Gabès,2026,2,-0.6978667877826172
1119066,EE580064831TN,5.56,246.0,44.23664808487682,RPP-I,INTERNATIONAL,Tunis,2026,3,-0.6937013410372062
1119225,EE581226368TN,0.007,5.0,625.0,EMS-N,NATIONAL,Tunis,2026,2,-0.6718705524401961
1119445,EE583290015TN,18.36,25.0,1.3615816132018952,EMS-N,NATIONAL,Gabès,2026,4,-0.668916377856767
1119462,EE580188779TN,20.08,25.0,1.2449579204222898,EMS-N,NATIONAL,Gabès,2026,1,-0.6743694407143316
1119545,EE580059377TN,8.299,313.0,37.71084337349398,RPP-I,INTERNATIONAL,Tunis,2026,1,-0.7125734241204282
1119546,EE583365725TN,9.3,344.0,36.985270401032146,RPP-I,INTERNATIONAL,Tunis,2026,3,-0.7206913753849333
1119547,EE580064859TN,9.86,360.0,36.507453605111046,RPP-I,INTERNATIONAL,Tunis,2026,3,-0.7226444567369864
1119548,EE575105388TN,8.741,329.0,37.63440860215054,RPP-I,INTERNATIONAL,Tunis,2026,1,-0.717286175985777
1119549,EE580056296TN,9.36,344.0,36.74821066125414,RPP-I,INTERNATIONAL,Tunis,2026,1,-0.7197168150638661
1119859,EE583961841TN,27.105,35.0,1.2912270346048844,EMS-N,NATIONAL,Gabès,2026,5,-0.698395356320934
1120067,EE579538509TN,12.4,315.0,25.40117732440932,RPP-I,INTERNATIONAL,Sousse,2026,2,-0.7266527558766062
1120068,EE579538662TN,5.62,236.0,41.98541184842554,RPP-I,INTERNATIONAL,Sousse,2026,1,-0.6918264838506006
1120112,EE569908584TN,24.72,325.0,13.146717365802354,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.7654804565989143
1120320,EE580893285TN,15.04,470.0,31.247922345588727,EMS-I,INTERNATIONAL,Inconnu,2026,1,-0.7450731617881532
1120606,EE579770514TN,10.32,375.0,36.333688596066274,RPP-I,INTERNATIONAL,Ariana,2026,2,-0.7265665123990254
1120894,EE583995686TN,18.74,25.0,1.3339736406808602,EMS-N,NATIONAL,Monastir,2026,5,-0.6707291484105663
1120896,EE583995709TN,25.81,30.0,1.162295145480609,EMS-N,NATIONAL,Monastir,2026,5,-0.6941555554170082
1121118,EE583566894TN,8.36,14.0,1.6744408563568953,EMS-N,NATIONAL,Tozeur,2026,4,-0.7075377718235539
1121229,EE577641446TN,29.14,1112.0,38.15929446484335,RPP-I,INTERNATIONAL,Tunis,2026,3,-0.778538420803912
1121230,EE577610599TN,29.56,1129.0,38.192212712695785,RPP-I,INTERNATIONAL,Tunis,2026,1,-0.778538420803912
1121243,EE581149595TN,0.018,60.0,3157.8947368421054,RPP-I,INTERNATIONAL,Sfax,2026,5,-0.6916171178709423
1121387,EE582398404TN,11.469,460.0,40.10462074978204,RPP-I,INTERNATIONAL,Médenine,2026,4,-0.7384457567710035
1121451,EE581746862TN,3.0,10.0,3.332222592469177,EMS-N,NATIONAL,Kairouan,2026,3,-0.6686815608714348
1121503,EE583711870TN,0.006,5.0,714.2857142857142,EMS-N,NATIONAL,Inconnu,2026,4,-0.6825160432230377
1121612,EE580701860TN,22.12,30.0,1.3561773880023507,EMS-N,NATIONAL,Médenine,2026,2,-0.6858731857699759
1122049,EE578539233TN,0.018,60.0,3157.8947368421054,RPP-I,INTERNATIONAL,Tataouine,2026,6,-0.6916171178709423
1122133,EE519559002TN,0.011,39.0,3250.0,RPP-I,INTERNATIONAL,Sousse,2026,2,-0.680590916549779
1122191,EE583296772TN,17.7,155.0,8.756567425569177,EMS-I,INTERNATIONAL,Gabès,2026,4,-0.7105783314957267
1122192,EE583969916TN,16.22,145.0,8.939029652919055,EMS-I,INTERNATIONAL,Gabès,2026,5,-0.7000110757951764
1122193,EE583964485TN,13.88,130.0,9.365319501476838,EMS-I,INTERNATIONAL,Gabès,2026,6,-0.6773976276495619
1122361,EE583144366TN,5.544,205.0,36.9702434625789,RPP-I,INTERNATIONAL,Tataouine,2026,6,-0.6709037288129993
1122404,EE580063102TN,7.48,282.0,37.695495254645095,RPP-I,INTERNATIONAL,Tunis,2026,3,-0.7028404953248176
1122482,EE583953730TN,6.26,220.0,35.13815684395464,EMS-I,INTERNATIONAL,Tunis,2026,5,-0.6755791575460707
1122761,EE581829624TN,0.006,5.0,714.2857142857142,EMS-N,NATIONAL,Bizerte,2026,1,-0.6825160432230377
1122762,EE581829638TN,0.006,5.0,714.2857142857142,EMS-N,NATIONAL,Bizerte,2026,1,-0.6825160432230377
1122784,EE581358749TN,27.76,35.0,1.2607614999459673,EMS-N,NATIONAL,Sfax,2026,1,-0.698395356320934
1122952,EE581832929TN,15.0,540.0,35.99760015998933,EMS-I,INTERNATIONAL,Bizerte,2026,2,-0.7912835817652614
1122953,EE576484642TN,15.0,540.0,35.99760015998933,EMS-I,INTERNATIONAL,Bizerte,2026,1,-0.7469883700103078
1122954,EE581834054TN,20.0,660.0,32.998350082495875,EMS-I,INTERNATIONAL,Bizerte,2026,2,-0.7644453299066387
1123307,EE582531854TN,18.5,25.0,1.3512783092805793,EMS-N,NATIONAL,Tunis,2026,6,-0.6707291484105663
1123313,EE581215612TN,18.48,25.0,1.3527406525620906,EMS-N,NATIONAL,Tunis,2026,4,-0.6707291484105663
1123319,EE581212528TN,21.14,25.0,1.1825363038645285,EMS-N,NATIONAL,Tunis,2026,1,-0.6835568439351697
1123509,EE582220891TN,17.56,155.0,8.826376630032458,EMS-I,INTERNATIONAL,Zaghouan,2026,1,-0.7105783314957267
1123539,EE578280783TN,16.0,406.0,25.373414161614896,RPP-I,INTERNATIONAL,Ariana,2026,1,-0.746587016563522
1123599,EE575105082TN,16.2,190.0,11.727671131411642,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.7157583195262062
1123600,EE575105079TN,9.1,305.0,33.512800791121855,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.7124494964856263
1123601,EE575105065TN,6.9,220.0,31.879437762643093,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.6765333300863847
1123602,EE575105051TN,11.0,335.0,30.45177711117171,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.7262780348584444
1123603,EE575105034TN,29.9,860.0,28.76157988027156,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.7759091284631018
1123604,EE575105048TN,13.8,210.0,15.216288674733715,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.7089110357563485
1123605,EE580055300TN,15.64,380.0,24.29512179528163,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.741552760726751
1123606,EE580055295TN,15.85,285.0,17.979938174247682,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.731483210440585
1123607,EE575105184TN,21.1,295.0,13.980380076773612,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.7562145489747049
1123608,EE575105175TN,11.0,275.0,24.997727479320062,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.7164159001850091
1123609,EE580057036TN,12.5,250.0,19.99840012798976,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.7153321065681437
1123610,EE580057040TN,23.6,550.0,23.304097284013388,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.7711987589074509
1123611,EE580057053TN,10.6,160.0,15.092915762663901,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.6739161624680826
1123612,EE580057209TN,10.0,305.0,30.496950304969506,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.7178715285545002
1123613,EE580055199TN,29.65,380.0,12.815756635526627,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.8015213056792482
1123614,EE580055145TN,9.9,305.0,30.804969195030807,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.7178715285545002
1123616,EE580055168TN,25.8,340.0,13.177783806829192,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.7665169849444241
1123618,EE580055171TN,9.4,305.0,32.44335708967131,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.7134142162135898
1123619,EE580055185TN,10.6,335.0,31.600792378077543,EMS-I,INTERNATIONAL,Tunis,2026,1,-0.7262780348584444
1123636,EE583705534TN,3.48,150.0,43.091065785693765,RPP-I,INTERNATIONAL,Kairouan,2026,5,-0.7391892643252098
1123637,EE583705548TN,3.38,150.0,44.36557231588288,RPP-I,INTERNATIONAL,Kairouan,2026,5,-0.7376904099748478
1123639,EE583047302TN,4.489,175.0,38.97550111358574,RPP-I,INTERNATIONAL,Kairouan,2026,4,-0.738263784128358
1123643,EE583709173TN,5.54,205.0,36.996931961739755,RPP-I,INTERNATIONAL,Kairouan,2026,6,-0.6709037288129993
1123644,EE580153315TN,5.34,143.0,26.774012357236472,RPP-I,INTERNATIONAL,Kairouan,2026,2,-0.731033097444403
1123646,EE580159446TN,17.66,347.0,19.647811562199195,RPP-I,INTERNATIONAL,Kairouan,2026,1,-0.751623740775185
1123647,EE580159450TN,17.64,347.0,19.67008672977722,RPP-I,INTERNATIONAL,Kairouan,2026,1,-0.751623740775185
1123650,EE581746880TN,6.52,168.0,25.76291979757706,RPP-I,INTERNATIONAL,Kairouan,2026,3,-0.7428941834344619
1123651,EE581747987TN,6.16,159.0,25.80749878266515,RPP-I,INTERNATIONAL,Kairouan,2026,3,-0.7423917213950412
1123653,EE583045258TN,6.22,215.0,34.56036007072818,RPP-I,INTERNATIONAL,Kairouan,2026,4,-0.6755791575460707
1123836,EE583007674TN,20.88,25.0,1.1972606675925483,EMS-N,NATIONAL,Gabès,2026,3,-0.6807875574851118
1124112,EE583368390TN,10.44,375.0,35.916099990422374,RPP-I,INTERNATIONAL,Tunis,2026,3,-0.7271602908192674
1124113,EE583368409TN,15.67,546.0,34.84142683938485,RPP-I,INTERNATIONAL,Tunis,2026,3,-0.747999858432523
1124114,EE583368386TN,16.078,562.0,34.95242241432925,RPP-I,INTERNATIONAL,Tunis,2026,3,-0.7520595271293764
1124299,EE580111939TN,11.0,205.0,18.634669575493138,EMS-I,INTERNATIONAL,Sfax,2026,1,-0.6901621396622715
1124300,EE580110805TN,11.0,205.0,18.634669575493138,EMS-I,INTERNATIONAL,Sfax,2026,1,-0.6901621396622715
1124317,EE580821902TN,0.006,5.0,714.2857142857142,EMS-N,NATIONAL,Kairouan,2026,4,-0.6825160432230377
1124390,EE583133964TN,0.007,5.0,625.0,EMS-N,NATIONAL,Sfax,2026,3,-0.6718705524401961
