bureau_id,gouvernorat,type_bureau,nb_colis,ca_total,poids_moyen,montant_moyen,nb_annees_actif,nb_mois_actif,nb_intl,nb_ems_n,nb_rpp_i,nb_normal,premiere_annee,derniere_annee,taux_intl,taux_ems_n,taux_rpp_i,taux_normal,ca_par_colis,activite,cluster,segment
1,Gafsa,Bureau,8515,118150.7499999997,3.4886482466236095,13.875601879036958,4,12,369,4812,369,3334,2023,2026,0.04333529066353494,0.5651203758073987,0.04333529066353494,0.39154433352906637,13.875601879036958,1.0,0,Bureaux express nationaux standards
2,Sfax,Bureau,509,33879.899999999994,3.307870333988202,66.56168958742632,4,12,193,156,192,160,2023,2026,0.3791748526522593,0.30648330058939094,0.37721021611001965,0.3143418467583497,66.56168958742632,1.0,1,Bureaux internationaux premium
3,Ariana,Bureau,4266,122799.19999999978,2.5442656352555106,28.78556024378804,4,12,0,0,0,4266,2023,2026,0.0,0.0,0.0,1.0,28.78556024378804,1.0,2,Bureaux colis normaux
4,Ariana,Bureau,6237,117416.3,1.2495754369088008,18.82576559243226,4,12,790,4617,790,830,2023,2026,0.12666345999679332,0.7402597402597403,0.12666345999679332,0.13307679974346642,18.82576559243226,1.0,0,Bureaux express nationaux standards
5,Gafsa,Bureau,1045,14527.500000000002,4.114790430622008,13.901913875598089,4,12,18,824,15,203,2023,2026,0.01722488038277512,0.7885167464114833,0.014354066985645933,0.19425837320574163,13.901913875598089,1.0,0,Bureaux express nationaux standards
6,Tataouine,Bureau,506,14358.5,1.7929527667984162,28.376482213438734,4,12,121,192,102,193,2023,2026,0.2391304347826087,0.3794466403162055,0.2015810276679842,0.3814229249011858,28.376482213438734,1.0,1,Bureaux internationaux premium
7,Gabès,Bureau,1212,24629.750000000007,2.219281765676571,20.321575907590766,4,12,113,282,111,817,2023,2026,0.09323432343234324,0.23267326732673269,0.09158415841584158,0.6740924092409241,20.321575907590766,1.0,2,Bureaux colis normaux
8,Sousse,Bureau,26351,254771.60000000114,2.1506102339183535,9.668384501536988,4,12,1192,14097,1189,11062,2023,2026,0.04523547493453759,0.5349702098592084,0.04512162726272248,0.41979431520625404,9.668384501536988,1.0,3,Grandes agences express saturées
9,Sousse,Bureau,2033,15966.75000000002,2.532636005902606,7.853787506148559,4,12,77,690,75,1266,2023,2026,0.03787506148548942,0.3393999016232169,0.03689129365469749,0.6227250368912937,7.853787506148559,1.0,2,Bureaux colis normaux
10,Ariana,Bureau,1130,51854.999999999985,2.243515044247783,45.88938053097344,4,12,379,367,379,384,2023,2026,0.33539823008849556,0.3247787610619469,0.33539823008849556,0.3398230088495575,45.88938053097344,1.0,1,Bureaux internationaux premium
