id,id_bureau_src,code_postal,cite,ville,gouvernorat,type_bureau
1,2260,2260,RUE SOUK,DEGACHE,Gafsa,Bureau
2,3023,3023,SFAX,SFAX,Sfax,Bureau
3,2001,2001,ENNASR,ARIANA,Ariana,Bureau
4,1250,2011,2011,2011,Ariana,Bureau
5,2214,2214,HAMMA,TOZEUR,Gafsa,Bureau
6,8044,8044,MIDA,MIDA,Tataouine,Bureau
7,6013,6020,HERMMA,GABE,Gabès,Bureau
8,4160,4171,BENGURDEN,BENGURDEN,Sousse,Bureau
9,4171,4171,BENGURDEN,BENGURDEN,Sousse,Bureau
10,2016,2016,CARTHGAE,CARTHAGE,Ariana,Bureau
11,7114,7114,JERISSA,JERISSA,Kébili,Bureau
12,5066,5080,TEBOULBA,TEBOULBA,Monastir,Bureau
13,5025,5023,TOUZA,TOUZA,Monastir,Bureau
14,2083,2083,ARIANA,ARIANA,Ariana,Bureau
15,9031,9000,BEJA,BEJA,Kasserine,Bureau
16,2130,2130,MATALOUI,GAFSA,Gafsa,Bureau
17,2042,4100,MEDNIN,MEDNIN,Sousse,Bureau
18,2062,4100,MEDNIN,MEDNIN,Sousse,Bureau
19,99013,kebili,KEBILI,4200,Kairouan,Agence
20,2087,2087,CITE FEHRI,TUNIS,Ariana,Bureau
21,6031,6031,OASIS BOUCHEMA,GABES,Gabès,Bureau
22,3069,3099,EL BOUSTEN,SFAX,Sfax,Bureau
23,2065,2065,CITE EL HABIB,BEN AROUS,Ariana,Bureau
24,3067,3067,MARKEZ LAJMI,SFAX,Sfax,Bureau
25,2078,2078,LA MARSA,TUNIS,Ariana,Bureau
26,2026,2078,LA MARSA,TUNIS,Ariana,Bureau
27,6052,6052,OUDHREF,OUDHREF,Gabès,Bureau
28,9120,9120,CITE ERIAD,9120,Kasserine,Bureau
29,2040,8117,BELARIGIA,BELLARIGIA,Tataouine,Bureau
30,5011,5011,KHNIS,MONASTIR,Monastir,Bureau
31,2021,2214,KARIA,TOZEUR,Gafsa,Bureau
32,1221,1221,CITE NACER,HAIDRA,Kairouan,Bureau
33,3040,3040,BIR ALI,BIR ALI,Sfax,Bureau
34,7014,7014,AOUSJA,BIZERTE,Médenine,Bureau
35,6041,6041,CHENENI,GABESGABES,Gabès,Bureau
36,1023,1075,BAB EL KHADRA,TUNIS,Tunis,Bureau
37,7080,7080,CITE NOZHA,7080,Médenine,Bureau
38,3072,3099,EL BOUSTEN,SFAX,Sfax,Bureau
39,99010,8196,CITE ETTATAOUER,JENDOUBA,Jendouba,Agence
40,4280,4200,KEBILI,KEBILI,Sousse,Bureau
41,5070,5070,KH,KH,Monastir,Bureau
42,3048,3048,SOUK EL FERIANI,SFAX,Sfax,Bureau
43,5016,5070,KASR HELLEL,KASR HELLEL,Monastir,Bureau
44,3180,8100,JENDOUBA,JENDOUBA,Tataouine,Bureau
45,2050,2050,HLIF,HLIF,Ariana,Bureau
46,2143,2124,CITE SOUROUR,GAFSA TUNISIA,Gafsa,Bureau
47,2034,2034,EZAHRA,BEN AROUS,Ariana,Bureau
48,6120,6120,CITE ENNASER,LE KRIB,Gabès,Bureau
49,1000,1000,BAB EL JAZIRA,TUNIS,Tunis,Bureau
50,2084,1164,HAMMAM CHATT,BEN AROUS,Tunis,Bureau
51,2117,2100,MOUALLA,GAFSA,Gafsa,Bureau
52,2013,2068,MOUROUJ 3,MOUROUJ 3,Ariana,Bureau
53,6021,6021,GABES,GABES,Gabès,Bureau
54,1095,1009,EL FATH SIDI HACINE SIJOUMI,TUNIS,Tunis,Bureau
55,5051,5050,M,M,Monastir,Bureau
56,1001,2074,EL MOUROUJ 1,BEN AROUS,Ariana,Bureau
57,1074,8045,EL HAWARIA,NABEUL 8045,Tataouine,Bureau
58,3079,3079,HAI EL KHIRI,INCONNU,Sfax,Bureau
59,4135,4135,AJIM,DJERBA,Sousse,Bureau
60,1144,7026,BIZERTE,MANZL JMIL,Médenine,Bureau
61,7021,7026,BIZERTE,MANZL JMIL,Médenine,Bureau
62,7026,7026,BIZERTE,MANZL JMIL,Médenine,Bureau
63,8020,8020,TN,NABEUL,Tataouine,Bureau
64,7150,7150,TAJEROUINE,TAJEROUINE,Kébili,Bureau
65,7070,2036,ARIANA,2080,Ariana,Bureau
66,1181,2036,ARIANA,2080,Ariana,Bureau
67,5099,5031,NADHOUR 2,KSIBET MEDIOUNI MONASTIR,Monastir,Bureau
68,1090,1000,TUNIS,TUNIS,Tunis,Bureau
69,5015,5015,BOUHJAR,BOUHJAR,Monastir,Bureau
70,9040,9040,BIR TOUTA,TEBOURSOUK,Kasserine,Bureau
71,1068,1068,ROMANA,TUNIS,Tunis,Bureau
72,3090,3090,MAHRES,SFAX,Sfax,Bureau
73,6091,6040,CITE GABES,GABES,Gabès,Bureau
74,6040,6040,CITE GABES,GABES,Gabès,Bureau
75,4116,4116,MIDOUN,MEDENINE,Sousse,Bureau
76,4113,4116,MIDOUN,MEDENINE,Sousse,Bureau
77,3200,3200,TATAOUNE,TATAOUINE,Sfax,Bureau
78,5050,5050,MOKNINE,MOKNNIE,Monastir,Bureau
79,9122,9122,CEBALA,CEBALA,Kasserine,Bureau
80,9070,9070,MEJEZBUREAU DE POSTE DE MEDJEZ,MEDJEZ,Kasserine,Bureau
81,8028,4144,EL MOUENSA,MEDENINE,Sousse,Bureau
82,1176,1176,ZONE INDUSTRIELLE,FOUCHANA,Tunis,Bureau
83,1082,2083,ARIANA,ARIANA,Ariana,Bureau
84,2027,7000,CITE AIN MARIEM,BIZERTE,Médenine,Bureau
85,4022,4022,AKOUDA,TUNIS,Sousse,Bureau
86,8056,8042,BOUARGOUB,MANAR,Tataouine,Bureau
87,5120,5120,OULED CHAMAKH,MAHDIA,Monastir,Bureau
88,3227,3227,CITE ENNOUR,TATAOUINE,Sfax,Bureau
89,8070,8070,GORBA,NABEUL,Tataouine,Bureau
90,1064,1064,INTILEKA,TUNIS,Tunis,Bureau
91,1182,1064,INTILEKA,TUNIS,Tunis,Bureau
92,6060,6020,EL HAMMA,EL HAMMA,Gabès,Bureau
93,2066,2053,KABARIYA,TIUNIS,Ariana,Bureau
94,2053,2053,KABARIYA,TIUNIS,Ariana,Bureau
95,4060,4060,KALAA KEBIRA,SOUSSE,Sousse,Bureau
96,1145,1145,CITE ENNACIM 1,BEN AROUS,Tunis,Bureau
97,2056,2056,RAOUED PLAGE,ARIANA,Ariana,Bureau
98,3051,3072,MERKEZ CHAKER,SFAX,Sfax,Bureau
99,5040,5040,ZARMDIN,ZARAMDIN,Monastir,Bureau
100,4155,4155,GUELLALA,MEDENINE,Sousse,Bureau
101,3064,3064,CITE ELBAHRI,SFAX,Sfax,Bureau
102,6010,6010,AV HEDI CHEKER,GABES,Gabès,Bureau
103,4083,4083,SOUSSE,SOUSSE,Sousse,Bureau
104,4146,4146,ERRIADH,JERBA,Sousse,Bureau
105,3160,3160,CITE NASER,H EL AYOUN,Sfax,Bureau
106,3099,3099,BOUSTEN,SFAX,Sfax,Bureau
107,5112,5112,MAHDIA,TUNISIE,Monastir,Bureau
