id,code_iso_pays,pays_dest,ville_dest,cite_dest,code_postal_dest,portee
1,TN,TN,TUNIS,TUNIS,1000,National
2,TN,FR,FRANCE,ANGER,49100,National
3,TN,IT,INCONNU,INCONNU,Inconnu,National
4,TN,FR,INCONNU,INCONNU,Inconnu,National
5,TN,US,INCONNU,INCONNU,Inconnu,National
6,TN,FR,ORGEVAL,ORGEVAL,78630,National
7,TN,CH,PULLY,PULLY,1009,National
8,TN,FR,MONTARNAUD,MONTARNAUD,34570,National
9,TN,AT,GLEUINSTATTEN,GLEUINSTATTEN,8443,National
10,TN,FR,NANGIS,NANGIS,77170,National
11,TN,FR,ROGNAC,ROGNAC,133340,National
12,TN,FR,LYON,LYON,69003,National
13,TN,FR,LA MEMBROLLE SUE CHOUSILLE,LA MEMBROLLE SUE CHOUSILLE,37390,National
14,TN,FR,FREJUS,FREJUS,83600,National
15,TN,FR,AVERCHY,AVERCHY,60130,National
16,TN,IT,ITALIA,LA SPEZIA,10124,National
17,TN,CH,SWISSE,SWITZERLAND,1295,National
18,TN,BE,DE PINTE,DE PINTE,9840,National
19,TN,FR,DIVONNE LES BAINS,DIVONNE LES BAINS,01220,National
20,TN,DE,INCONNU,INCONNU,Inconnu,National
21,TN,TN,2011,2011,2011,National
22,TN,TN,JANDOUBA,8160,8160,National
23,TN,TN,7016,EL ALIA,7016,National
24,TN,TN,2240,2240,2240,National
25,TN,TN,4212,4212,4212,National
26,TN,TN,4222,4222,4222,National
27,TN,TN,3080,3080,3080,National
28,TN,TN,7030,7030,7030,National
29,TN,TN,2082,2082,2082,National
30,TN,TN,NABEUL,NABEUL,8023,National
31,TN,TN,SOUASSI,OULED MOULEHEM,5140,National
32,TN,FR,CRESTIEL,SALVADOR,94600,National
33,TN,RU,RUSSIE,RUSSIE,0000,National
34,TN,TN,BIZERTE,BIZERTE,7000,National
35,TN,TN,BEN AROUS,HAMMAM CHATT,1164,National
36,TN,TN,MONASTIR,MONASTIR,5010,National
37,TN,TN,TOZEUR,HEZOUA,2223,National
38,TN,TN,SFAX,SFAX,3089,National
39,TN,TN,NAB,NAB,8011,National
40,TN,TN,ARIANA,ARIANA,2034,National
41,TN,TN,MAT,MAT,7000,National
42,TN,TN,BZ,BZ,7000,National
43,TN,US,USA,CALIFORNIA,90250,National
44,TN,QA,QATAR,DAOUHA,Inconnu,National
45,TN,TN,BEJA,BEJA,9000,National
46,TN,TN,KAIROUAN,CHERARDA,3116,National
47,TN,TN,METLAOUI,METLAOUI,2100,National
48,TN,TN,TN,TN,2029,National
49,TN,TN,JEMMEL,JEMMEL,5020,National
50,TN,TN,TATAOUINE,GHOMRESSEN,3220,National
51,TN,TN,TATA,TATAWINE,3220,National
