id,date_complete,jour,mois,trimestre,annee,semaine,num_semaine_mois,jour_semaine,saison,est_weekend,est_ferie,mois_islamique,num_mois_islamique,annee_hijri,evenement_islamique,impact_islamique
1,2023-01-01,1,1,1,2023,52,1,Dimanche,Hiver,True,True,Inconnu,0,0,Période normale,normal
2,2023-01-02,2,1,1,2023,1,1,Lundi,Hiver,False,False,Inconnu,0,0,Période normale,normal
3,2023-01-03,3,1,1,2023,1,1,Mardi,Hiver,False,False,Inconnu,0,0,Période normale,normal
4,2023-01-04,4,1,1,2023,1,1,Mercredi,Hiver,False,False,Inconnu,0,0,Période normale,normal
5,2023-01-05,5,1,1,2023,1,1,Jeudi,Hiver,False,False,Inconnu,0,0,Période normale,normal
6,2023-01-06,6,1,1,2023,1,1,Vendredi,Hiver,False,False,Inconnu,0,0,Période normale,normal
7,2023-01-07,7,1,1,2023,1,1,Samedi,Hiver,True,False,Inconnu,0,0,Période normale,normal
8,2023-01-08,8,1,1,2023,1,2,Dimanche,Hiver,True,False,Inconnu,0,0,Période normale,normal
9,2023-01-09,9,1,1,2023,2,2,Lundi,Hiver,False,False,Inconnu,0,0,Période normale,normal
10,2023-01-10,10,1,1,2023,2,2,Mardi,Hiver,False,False,Inconnu,0,0,Période normale,normal
11,2023-01-11,11,1,1,2023,2,2,Mercredi,Hiver,False,False,Inconnu,0,0,Période normale,normal
12,2023-01-12,12,1,1,2023,2,2,Jeudi,Hiver,False,False,Inconnu,0,0,Période normale,normal
13,2023-01-13,13,1,1,2023,2,2,Vendredi,Hiver,False,False,Inconnu,0,0,Période normale,normal
14,2023-01-14,14,1,1,2023,2,2,Samedi,Hiver,True,False,Rajab,7,1444,Période normale,normal
15,2023-01-15,15,1,1,2023,2,3,Dimanche,Hiver,True,False,Rajab,7,1444,Période normale,normal
16,2023-01-16,16,1,1,2023,3,3,Lundi,Hiver,False,False,Rajab,7,1444,Période normale,normal
17,2023-01-17,17,1,1,2023,3,3,Mardi,Hiver,False,False,Rajab,7,1444,Période normale,normal
18,2023-01-18,18,1,1,2023,3,3,Mercredi,Hiver,False,False,Rajab,7,1444,Période normale,normal
19,2023-01-19,19,1,1,2023,3,3,Jeudi,Hiver,False,False,Rajab,7,1444,Période normale,normal
20,2023-01-20,20,1,1,2023,3,3,Vendredi,Hiver,False,False,Rajab,7,1444,Période normale,normal
21,2023-01-21,21,1,1,2023,3,3,Samedi,Hiver,True,False,Rajab,7,1444,Période normale,normal
22,2023-01-22,22,1,1,2023,3,4,Dimanche,Hiver,True,False,Rajab,7,1444,Période normale,normal
23,2023-01-23,23,1,1,2023,4,4,Lundi,Hiver,False,False,Rajab,7,1444,Période normale,normal
24,2023-01-24,24,1,1,2023,4,4,Mardi,Hiver,False,False,Rajab,7,1444,Période normale,normal
25,2023-01-25,25,1,1,2023,4,4,Mercredi,Hiver,False,False,Rajab,7,1444,Période normale,normal
26,2023-01-26,26,1,1,2023,4,4,Jeudi,Hiver,False,False,Rajab,7,1444,Période normale,normal
27,2023-01-27,27,1,1,2023,4,4,Vendredi,Hiver,False,False,Rajab,7,1444,Période normale,normal
28,2023-01-28,28,1,1,2023,4,4,Samedi,Hiver,True,False,Rajab,7,1444,Période normale,normal
29,2023-01-29,29,1,1,2023,4,5,Dimanche,Hiver,True,False,Rajab,7,1444,Période normale,normal
30,2023-01-30,30,1,1,2023,5,5,Lundi,Hiver,False,False,Rajab,7,1444,Période normale,normal
31,2023-01-31,31,1,1,2023,5,5,Mardi,Hiver,False,False,Rajab,7,1444,Période normale,normal
32,2023-02-01,1,2,1,2023,5,1,Mercredi,Hiver,False,False,Rajab,7,1444,Période normale,normal
33,2023-02-02,2,2,1,2023,5,1,Jeudi,Hiver,False,False,Rajab,7,1444,Période normale,normal
34,2023-02-03,3,2,1,2023,5,1,Vendredi,Hiver,False,False,Rajab,7,1444,Période normale,normal
35,2023-02-04,4,2,1,2023,5,1,Samedi,Hiver,True,False,Rajab,7,1444,Période normale,normal
36,2023-02-05,5,2,1,2023,5,1,Dimanche,Hiver,True,False,Rajab,7,1444,Période normale,normal
37,2023-02-06,6,2,1,2023,6,1,Lundi,Hiver,False,False,Rajab,7,1444,Période normale,normal
38,2023-02-07,7,2,1,2023,6,1,Mardi,Hiver,False,False,Rajab,7,1444,Période normale,normal
39,2023-02-08,8,2,1,2023,6,2,Mercredi,Hiver,False,False,Rajab,7,1444,Période normale,normal
40,2023-02-09,9,2,1,2023,6,2,Jeudi,Hiver,False,False,Rajab,7,1444,Période normale,normal
41,2023-02-10,10,2,1,2023,6,2,Vendredi,Hiver,False,False,Rajab,7,1444,Période normale,normal
42,2023-02-11,11,2,1,2023,6,2,Samedi,Hiver,True,False,Rajab,7,1444,Période normale,normal
43,2023-02-12,12,2,1,2023,6,2,Dimanche,Hiver,True,False,Chaabane,8,1444,Période normale,normal
44,2023-02-13,13,2,1,2023,7,2,Lundi,Hiver,False,False,Chaabane,8,1444,Période normale,normal
45,2023-02-14,14,2,1,2023,7,2,Mardi,Hiver,False,False,Chaabane,8,1444,Période normale,normal
46,2023-02-15,15,2,1,2023,7,3,Mercredi,Hiver,False,False,Chaabane,8,1444,Période normale,normal
47,2023-02-16,16,2,1,2023,7,3,Jeudi,Hiver,False,False,Chaabane,8,1444,Période normale,normal
48,2023-02-17,17,2,1,2023,7,3,Vendredi,Hiver,False,False,Chaabane,8,1444,Période normale,normal
49,2023-02-18,18,2,1,2023,7,3,Samedi,Hiver,True,False,Chaabane,8,1444,Période normale,normal
50,2023-02-19,19,2,1,2023,7,3,Dimanche,Hiver,True,False,Chaabane,8,1444,Période normale,normal
51,2023-02-20,20,2,1,2023,8,3,Lundi,Hiver,False,False,Chaabane,8,1444,Période normale,normal
52,2023-02-21,21,2,1,2023,8,3,Mardi,Hiver,False,False,Chaabane,8,1444,Période normale,normal
53,2023-02-22,22,2,1,2023,8,4,Mercredi,Hiver,False,False,Chaabane,8,1444,Période normale,normal
54,2023-02-23,23,2,1,2023,8,4,Jeudi,Hiver,False,False,Chaabane,8,1444,Période normale,normal
55,2023-02-24,24,2,1,2023,8,4,Vendredi,Hiver,False,False,Chaabane,8,1444,Période normale,normal
56,2023-02-25,25,2,1,2023,8,4,Samedi,Hiver,True,False,Chaabane,8,1444,Période normale,normal
57,2023-02-26,26,2,1,2023,8,4,Dimanche,Hiver,True,False,Chaabane,8,1444,Période normale,normal
58,2023-02-27,27,2,1,2023,9,4,Lundi,Hiver,False,False,Chaabane,8,1444,Période normale,normal
59,2023-02-28,28,2,1,2023,9,4,Mardi,Hiver,False,False,Chaabane,8,1444,Période normale,normal
60,2023-03-01,1,3,1,2023,9,1,Mercredi,Printemps,False,False,Chaabane,8,1444,Période normale,normal
61,2023-03-02,2,3,1,2023,9,1,Jeudi,Printemps,False,False,Chaabane,8,1444,Période normale,normal
62,2023-03-03,3,3,1,2023,9,1,Vendredi,Printemps,False,False,Chaabane,8,1444,Période normale,normal
63,2023-03-04,4,3,1,2023,9,1,Samedi,Printemps,True,False,Chaabane,8,1444,Période normale,normal
64,2023-03-05,5,3,1,2023,9,1,Dimanche,Printemps,True,False,Chaabane,8,1444,Période normale,normal
65,2023-03-06,6,3,1,2023,10,1,Lundi,Printemps,False,False,Chaabane,8,1444,Période normale,normal
66,2023-03-07,7,3,1,2023,10,1,Mardi,Printemps,False,False,Chaabane,8,1444,Période normale,normal
67,2023-03-08,8,3,1,2023,10,2,Mercredi,Printemps,False,False,Chaabane,8,1444,Période normale,normal
68,2023-03-09,9,3,1,2023,10,2,Jeudi,Printemps,False,False,Chaabane,8,1444,Période normale,normal
69,2023-03-10,10,3,1,2023,10,2,Vendredi,Printemps,False,False,Chaabane,8,1444,Période normale,normal
70,2023-03-11,11,3,1,2023,10,2,Samedi,Printemps,True,False,Chaabane,8,1444,Période normale,normal
71,2023-03-12,12,3,1,2023,10,2,Dimanche,Printemps,True,False,Chaabane,8,1444,Période normale,normal
72,2023-03-13,13,3,1,2023,11,2,Lundi,Printemps,False,False,Chaabane,8,1444,Période normale,normal
73,2023-03-14,14,3,1,2023,11,2,Mardi,Printemps,False,False,Ramadan,9,1444,Période normale,normal
74,2023-03-15,15,3,1,2023,11,3,Mercredi,Printemps,False,False,Ramadan,9,1444,Période normale,normal
75,2023-03-16,16,3,1,2023,11,3,Jeudi,Printemps,False,False,Ramadan,9,1444,Pré-Ramadan,fort
76,2023-03-17,17,3,1,2023,11,3,Vendredi,Printemps,False,False,Ramadan,9,1444,Pré-Ramadan,fort
77,2023-03-18,18,3,1,2023,11,3,Samedi,Printemps,True,False,Ramadan,9,1444,Pré-Ramadan,fort
78,2023-03-19,19,3,1,2023,11,3,Dimanche,Printemps,True,False,Ramadan,9,1444,Pré-Ramadan,fort
79,2023-03-20,20,3,1,2023,12,3,Lundi,Printemps,False,True,Ramadan,9,1444,Pré-Ramadan,fort
