IdBordereau,IdBureau,Annee,Date,Heure,RefPaiement,NumEnvoi,IdPays,Poids,Montant,cp,cite,codepays,ville,cpDest,citeDest,paysDest,villeDest,portee,CodeService,type_service,CodeISOPays,type_source,IdBureau_original,est_agence
183,2260,2023,2023-05-25,1520,C,CP321202823TN,TN,2.321,4.3,2260,RUE SOUK,TN,DEGACHE,1000,TUNIS,TN,TUNIS,National,CP,Normal,TN,normal,2260,False
9030,3023,2023,2023-09-04,1031,C,CP323042007TN,FR,8.84,86.0,3023,SFAX,TN,SFAX,49100,ANGER,FR,FRANCE,National,CP,Normal,TN,normal,3023,False
43,2001,2023,2023-01-19,0819,P,UP000209902TN,IT,0.818,22.0,2001,ENNASR,TN,ARIANA,Inconnu,INCONNU,IT,INCONNU,National,UP,Normal,TN,normal,2001,False
35,2001,2023,2023-01-17,0824,C,CP319928206TN,FR,2.1,50.0,2001,ENNASR,TN,ARIANA,Inconnu,INCONNU,FR,INCONNU,National,CP,Normal,TN,normal,2001,False
126,2001,2023,2023-03-02,0841,C,CP319928798TN,IT,2.5,43.0,2001,ENNASR,TN,ARIANA,Inconnu,INCONNU,IT,INCONNU,National,CP,Normal,TN,normal,2001,False
98,2001,2023,2023-02-15,0950,P,UP000209788TN,US,0.746,22.0,2001,ENNASR,TN,ARIANA,Inconnu,INCONNU,US,INCONNU,National,UP,Normal,TN,normal,2001,False
594,2001,2023,2023-11-17,1104,P,UP001890731TN,FR,0.448,16.0,2001,ENNASR,TN,ARIANA,78630,ORGEVAL,FR,ORGEVAL,National,UP,Normal,TN,normal,2001,False
603,2001,2023,2023-11-21,1014,P,UP001890816TN,CH,0.933,22.0,2001,ENNASR,TN,ARIANA,1009,PULLY,CH,PULLY,National,UP,Normal,TN,normal,2001,False
568,2001,2023,2023-11-06,1134,P,UP001890612TN,FR,0.312,16.0,2001,ENNASR,TN,ARIANA,34570,MONTARNAUD,FR,MONTARNAUD,National,UP,Normal,TN,normal,2001,False
621,2001,2023,2023-12-04,0912,P,UP001890949TN,AT,1.586,26.0,2001,ENNASR,TN,ARIANA,8443,GLEUINSTATTEN,AT,GLEUINSTATTEN,National,UP,Normal,TN,normal,2001,False
