date,volume_reel,est_prevision,volume_prevu,borne_inf,borne_sup,annee,mois,label
2023-01-31,3999,False,,,,2023,1,Jan 2023
2023-02-28,3724,False,,,,2023,2,Feb 2023
2023-03-31,6132,False,,,,2023,3,Mar 2023
2023-04-30,3579,False,,,,2023,4,Apr 2023
2023-05-31,3963,False,,,,2023,5,May 2023
2023-06-30,3287,False,,,,2023,6,Jun 2023
2023-07-31,2822,False,,,,2023,7,Jul 2023
2023-08-31,3387,False,,,,2023,8,Aug 2023
2023-09-30,3839,False,,,,2023,9,Sep 2023
2023-10-31,5536,False,,,,2023,10,Oct 2023
2023-11-30,5431,False,,,,2023,11,Nov 2023
2023-12-31,4480,False,,,,2023,12,Dec 2023
2024-01-31,21175,False,,,,2024,1,Jan 2024
2024-02-29,23193,False,,,,2024,2,Feb 2024
2024-03-31,21716,False,,,,2024,3,Mar 2024
2024-04-30,18573,False,,,,2024,4,Apr 2024
2024-05-31,30876,False,,,,2024,5,May 2024
2024-06-30,28305,False,,,,2024,6,Jun 2024
2024-07-31,36203,False,,,,2024,7,Jul 2024
2024-08-31,32777,False,,,,2024,8,Aug 2024
2024-09-30,36166,False,,,,2024,9,Sep 2024
2024-10-31,38641,False,,,,2024,10,Oct 2024
2024-11-30,39173,False,,,,2024,11,Nov 2024
2024-12-31,34005,False,,,,2024,12,Dec 2024
2025-01-31,37074,False,,,,2025,1,Jan 2025
2025-02-28,39183,False,,,,2025,2,Feb 2025
2025-03-31,32839,False,,,,2025,3,Mar 2025
2025-04-30,31354,False,,,,2025,4,Apr 2025
2025-05-31,33193,False,,,,2025,5,May 2025
2025-06-30,27604,False,,,,2025,6,Jun 2025
2025-07-31,34668,False,,,,2025,7,Jul 2025
2025-08-31,31412,False,,,,2025,8,Aug 2025
2025-09-30,39107,False,,,,2025,9,Sep 2025
2025-10-31,51146,False,,,,2025,10,Oct 2025
2025-11-30,57887,False,,,,2025,11,Nov 2025
2025-12-31,69604,False,,,,2025,12,Dec 2025
2026-01-31,59698,False,,,,2026,1,Jan 2026
2026-02-28,60625,False,,,,2026,2,Feb 2026
2026-03-31,57300,False,,,,2026,3,Mar 2026
2026-04-30,61115,False,,,,2026,4,Apr 2026
2026-05-31,52314,False,,,,2026,5,May 2026
2026-06-30,58536,False,,,,2026,6,Jun 2026
2026-07-31,2009,False,,,,2026,7,Jul 2026
2026-08-31,0,False,,,,2026,8,Aug 2026
2026-09-30,0,False,,,,2026,9,Sep 2026
2026-10-31,0,False,,,,2026,10,Oct 2026
2026-11-30,1,False,,,,2026,11,Nov 2026
2026-11-30,,True,37947.0,30223.0,45865.0,2026,11,Nov 2026
2026-12-31,,True,72352.0,58877.0,85965.0,2026,12,Dec 2026
2027-01-31,,True,63911.0,50168.0,77821.0,2027,1,Jan 2027
2027-02-28,,True,70202.0,56692.0,84182.0,2027,2,Feb 2027
2027-03-31,,True,71526.0,55061.0,88456.0,2027,3,Mar 2027
2027-04-30,,True,66313.0,48599.0,85159.0,2027,4,Apr 2027
2027-05-31,,True,22796.0,15819.0,30287.0,2027,5,May 2027
