IdBordereau;IdBureau;Annee;Date;Heure;RefPaiement;NumEnvoi;IdPays;Poids;Montant;cp;cite;codepays;ville;cpDest;citeDest;paysDest;villeDest
"00000183";"2260";"2023";"25/05/2023";"1520";"C";"CP321202823TN";"TN";"2.321";"4.3";"2260";"rue souk";"TN";"degache";"1000";"tunis";"TN";"tunis"
"00009030";"3023";"2023";"04/09/2023";"1031";"C";"CP323042007TN";"FR";"8.84";"86.0";"3023";"sfax";"TN";"sfax";"49100";"anger";"FR";"france"
"00000043";"2001";"2023";"19/01/2023";"0819";"P";"UP000209902TN";"IT";"0.818";"22.0";"2001";"ENNASR";"TN";"ARIANA ";"";"";"IT";""
"00000035";"2001";"2023";"17/01/2023";"0824";"C";"CP319928206TN";"FR";"2.1";"50.0";"2001";"ENNASR";"TN";"ARIANA ";"";"";"FR";""
"00000126";"2001";"2023";"02/03/2023";"0841";"C";"CP319928798TN";"IT";"2.5";"43.0";"2001";"ENNASR";"TN";"ARIANA ";"";"";"IT";""
"00000098";"2001";"2023";"15/02/2023";"0950";"P";"UP000209788TN";"US";"0.746";"22.0";"2001";"ENNASR";"TN";"ARIANA ";"";"";"US";""
"00000594";"2001";"2023";"17/11/2023";"1104";"P";"UP001890731TN";"FR";"0.448";"16.0";"2001";"ENNASR";"TN";"ARIANA ";"78630";"ORGEVAL";"FR";"ORGEVAL"
"00000603";"2001";"2023";"21/11/2023";"1014";"P";"UP001890816TN";"CH";"0.933";"22.0";"2001";"ENNASR";"TN";"ARIANA ";"1009";"PULLY";"CH";"PULLY"
"00000568";"2001";"2023";"06/11/2023";"1134";"P";"UP001890612TN";"FR";"0.312";"16.0";"2001";"ENNASR";"TN";"ARIANA ";"34570";"MONTARNAUD";"FR";"MONTARNAUD"
"00000621";"2001";"2023";"04/12/2023";"0912";"P";"UP001890949TN";"AT";"1.586";"26.0";"2001";"ENNASR";"TN";"ARIANA ";"8443";"GLEUINSTATTEN";"AT";"GLEUINSTATTEN"
"00000658";"2001";"2023";"20/12/2023";"0927";"P";"UP001891153TN";"FR";"0.498";"16.0";"2001";"ENNASR";"TN";"ARIANA ";"77170";"NANGIS";"FR";"NANGIS"
"00000507";"2001";"2023";"16/10/2023";"0836";"C";"CP311926796TN";"FR";"4.47";"62.0";"2001";"ENNASR";"TN";"ARIANA ";"133340";"ROGNAC";"FR";"ROGNAC"
"00000454";"2001";"2023";"20/09/2023";"1048";"P";"UP001167510TN";"FR";"0.517";"22.0";"2001";"ENNASR";"TN";"ARIANA ";"69003";"LYON";"FR";"LYON"
"00000533";"2001";"2023";"24/10/2023";"0810";"C";"CP311926694TN";"FR";"2.81";"50.0";"2001";"ENNASR";"TN";"ARIANA ";"37390";"LA MEMBROLLE SUE CHOUSILLE";"FR";"LA MEMBROLLE SUE CHOUSILLE"
"00000569";"2001";"2023";"06/11/2023";"1137";"C";"CP311926561TN";"FR";"2.469";"50.0";"2001";"ENNASR";"TN";"ARIANA ";"37390";"LA MEMBROLLE SUE CHOUSILLE";"FR";"LA MEMBROLLE SUE CHOUSILLE"
"00000518";"2001";"2023";"18/10/2023";"0836";"P";"UP001890365TN";"FR";"0.846";"22.0";"2001";"ENNASR";"TN";"ARIANA ";"83600";"FREJUS";"FR";"FREJUS"
"00000572";"2001";"2023";"07/11/2023";"0928";"P";"UP001890643TN";"FR";"0.845";"22.0";"2001";"ENNASR";"TN";"ARIANA ";"60130";"AVERCHY";"FR";"AVERCHY"
"00000592";"2001";"2023";"16/11/2023";"0948";"C";"CP311926411TN";"FR";"2.962";"50.0";"2001";"ENNASR";"TN";"ARIANA ";"133340";"ROGNAC";"FR";"ROGNAC"
"00000462";"2001";"2023";"25/09/2023";"1143";"C";"CP311927006TN";"FR";"3.296";"56.0";"2001";"ENNASR";"TN";"ARIANA ";"133340";"ROGNAC";"FR";"ROGNAC"
"00000521";"2001";"2023";"19/10/2023";"0837";"C";"CP311926765TN";"FR";"4.14";"62.0";"2001";"ENNASR";"TN";"ARIANA ";"133340";"ROGNAC";"FR";"ROGNAC"
"00000528";"2001";"2023";"23/10/2023";"0808";"C";"CP311926734TN";"FR";"3.947";"56.0";"2001";"ENNASR";"TN";"ARIANA ";"133340";"ROGNAC";"FR";"ROGNAC"
"00000539";"2001";"2023";"26/10/2023";"0810";"C";"CP311926685TN";"FR";"3.91";"56.0";"2001";"ENNASR";"TN";"ARIANA ";"133340";"ROGNAC";"FR";"ROGNAC"
"00000485";"2001";"2023";"05/10/2023";"0948";"C";"CP311926884TN";"FR";"3.68";"56.0";"2001";"ENNASR";"TN";"ARIANA ";"133340";"ROGNAC";"FR";"ROGNAC"
"00000383";"2001";"2023";"15/08/2023";"1027";"P";"UP001167112TN";"IT";"1.273";"26.0";"2001";"ENNASR";"TN";"ARIANA ";"10124";"LA SPEZIA";"IT";"ITALIA"
"00000382";"2001";"2023";"15/08/2023";"0903";"C";"CP311927403TN";"CH";"3.328";"47.0";"2001";"ENNASR";"TN";"ARIANA ";"1295";"SWITZERLAND";"CH";"SWISSE"
"00000401";"2001";"2023";"24/08/2023";"1024";"P";"UP001167228TN";"BE";"1.961";"26.0";"2001";"ENNASR";"TN";"ARIANA ";"9840";"DE PINTE";"BE";"DE PINTE"
"00000473";"2001";"2023";"02/10/2023";"0819";"C";"CP311926941TN";"FR";"2.362";"50.0";"2001";"ENNASR";"TN";"ARIANA ";"133340";"ROGNAC";"FR";"ROGNAC"
"00000324";"2001";"2023";"10/07/2023";"0930";"C";"CP319929855TN";"FR";"4.75";"62.0";"2001";"ENNASR";"TN";"ARIANA ";"42130";"STAGATHE";"FR";"FRANCE"
"00000333";"2001";"2023";"12/07/2023";"0925";"P";"UP001167948TN";"FR";"0.0";"6.0";"2001";"ENNASR";"TN";"ARIANA ";"44640";"france";"FR";"france"
"00000372";"2001";"2023";"11/08/2023";"1235";"C";"CP311927434TN";"FR";"2.604";"50.0";"2001";"ENNASR";"TN";"ARIANA ";"01220";"DIVONNE LES BAINS";"FR";"DIVONNE LES BAINS"
"00000405";"2001";"2023";"25/08/2023";"1017";"P";"UP001167259TN";"FR";"1.045";"26.0";"2001";"ENNASR";"TN";"ARIANA ";"3569";"94000 CRETIL";"FR";"FRANCE"
"00000141";"2001";"2023";"08/03/2023";"1123";"P";"UP000209690TN";"FR";"0.2";"10.0";"2001";"ENNASR";"TN";"ARIANA ";"";"";"FR";""
"00000194";"2001";"2023";"06/04/2023";"1125";"P";"UP000204882TN";"FR";"0.482";"16.0";"2001";"ENNASR";"TN";"ARIANA ";"";"";"FR";""
"00000237";"2001";"2023";"09/05/2023";"0906";"P";"UP000204746TN";"DE";"0.481";"16.0";"2001";"ENNASR";"TN";"ARIANA ";"";"";"DE";""
"00000232";"2001";"2023";"03/05/2023";"0810";"C";"CP319929572TN";"DE";"3.619";"69.0";"2001";"ENNASR";"TN";"ARIANA ";"";"";"DE";""
"00000152";"1250";"2023";"31/07/2023";"0912";"C";"CP320423430TN";"TN";"8.54";"6.1";"2011";"2011";"TN";"2011";"2011";"2011";"TN";"2011"
"00000074";"1250";"2023";"05/04/2023";"0855";"C";"CP320420739TN";"TN";"2.44";"4.3";"2011";"2011";"TN";"2011";"8160";"8160";"TN";"jandouba"
"00000069";"1250";"2023";"03/04/2023";"0853";"C";"CP320420787TN";"TN";"5.64";"5.2";"2011";"2011";"TN";"2011";"7016";"EL ALIA";"TN";"7016"
